date,price
1993-01-06,437.5
1993-01-13,
1993-01-20,480.0
1993-01-27,442.5
1993-02-03,440.0
1993-02-10,520.0
1993-02-17,
1993-02-24,
1993-03-03,400.0
1993-03-10,435.0
1993-03-17,395.0
1993-03-24,395.0
1993-03-31,420.0
1993-04-07,
1993-04-14,470.0
1993-04-21,390.0
1993-04-28,470.0
1993-05-05,452.5
1993-05-12,430.0
1993-05-19,
1993-05-26,475.0
1993-06-02,430.0
1993-06-09,
1993-06-16,475.0
1993-06-23,
1993-06-30,
1993-07-07,415.0
1993-07-14,
1993-07-21,
1993-07-28,420.0
1993-08-04,450.0
1993-08-11,
1993-08-18,
1993-08-25,
1993-09-01,490.0
1993-09-08,
1993-09-15,
1993-09-22,530.0
1993-09-29,530.0
1993-10-06,540.0
1993-10-13,
1993-10-20,
1993-10-27,
1993-11-03,515.0
1993-11-10,515.0
1993-11-17,500.0
1993-11-24,508.0
1993-12-01,510.0
1993-12-08,460.0
1993-12-15,490.0
1993-12-22,
1993-12-29,
1994-01-05,
1994-01-12,
1994-01-19,
1994-01-26,
1994-02-02,
1994-02-09,
1994-02-16,560.0
1994-02-23,
1994-03-02,560.0
1994-03-09,560.0
1994-03-16,560.0
1994-03-23,500.0
1994-03-30,480.0
1994-04-06,
1994-04-13,485.0
1994-04-20,490.0
1994-04-27,
1994-05-04,425.0
1994-05-11,480.0
1994-05-18,
1994-05-25,
1994-06-01,
1994-06-08,450.0
1994-06-15,450.0
1994-06-22,425.0
1994-06-29,470.0
1994-07-06,460.0
1994-07-13,420.0
1994-07-20,485.0
1994-07-27,475.0
1994-08-03,452.5
1994-08-10,410.0
1994-08-17,
1994-08-24,
1994-08-31,
1994-09-07,515.0
1994-09-14,515.0
1994-09-21,515.0
1994-09-28,
1994-10-05,510.0
1994-10-12,
1994-10-19,530.0
1994-10-26,
1994-11-02,500.0
1994-11-09,530.0
1994-11-16,530.0
1994-11-23,
1994-11-30,520.0
1994-12-07,
1994-12-14,520.0
1994-12-21,520.0
1994-12-28,
1995-01-04,520.0
1995-01-11,
1995-01-18,
1995-01-25,755.0
1995-02-01,
1995-02-08,500.0
1995-02-15,
1995-02-22,
1995-03-01,
1995-03-08,490.0
1995-03-15,520.0
1995-03-22,480.0
1995-03-29,
1995-04-05,
1995-04-12,
1995-04-19,510.0
1995-04-26,
1995-05-03,
1995-05-10,
1995-05-17,475.0
1995-05-24,450.0
1995-05-31,
1995-06-07,450.0
1995-06-14,
1995-06-21,
1995-06-28,
1995-07-05,
1995-07-12,
1995-07-19,
1995-07-26,450.0
1995-08-02,440.0
1995-08-09,
1995-08-16,558.33
1995-08-23,
1995-08-30,
1995-09-06,
1995-09-13,
1995-09-20,
1995-09-27,
1995-10-04,
1995-10-11,610.0
1995-10-18,600.0
1995-10-25,600.0
1995-11-01,
1995-11-08,
1995-11-15,
1995-11-22,615.0
1995-11-29,550.0
1995-12-06,
1995-12-13,575.0
1995-12-20,
1995-12-27,
1996-01-03,
1996-01-10,4533.0
1996-01-17,
1996-01-24,545.0
1996-01-31,545.0
1996-02-07,550.0
1996-02-14,
1996-02-21,680.0
1996-02-28,680.0
1996-03-06,505.0
1996-03-13,
1996-03-20,
1996-03-27,560.0
1996-04-03,
1996-04-10,
1996-04-17,550.0
1996-04-24,620.0
1996-05-01,620.0
1996-05-08,635.0
1996-05-15,630.0
1996-05-22,630.0
1996-05-29,600.0
1996-06-05,600.0
1996-06-12,625.0
1996-06-19,
1996-06-26,550.0
1996-07-03,625.0
1996-07-10,705.0
1996-07-17,705.0
1996-07-24,811.0
1996-07-31,811.0
1996-08-07,695.33
1996-08-14,737.0
1996-08-21,737.0
1996-08-28,737.0
1996-09-04,770.33
1996-09-11,770.33
1996-09-18,770.33
1996-09-25,770.33
1996-10-02,766.67
1996-10-03,766.67
1996-10-09,700.0
1996-10-16,700.0
1996-10-23,725.0
1996-10-30,762.5
1996-11-06,792.5
1996-11-13,730.0
1996-11-20,775.0
1996-11-27,775.0
1996-12-04,815.0
1996-12-11,790.0
1996-12-18,807.5
1996-12-25,1000.0
1997-01-01,
1997-01-08,872.0
1997-01-15,872.0
1997-01-22,866.0
1997-01-29,872.0
1997-02-05,845.0
1997-02-07,680.5
1997-02-12,800.0
1997-02-19,800.0
1997-02-26,845.0
1997-03-05,785.0
1997-03-12,785.0
1997-03-19,900.0
1997-03-26,911.0
1997-04-02,900.0
1997-04-09,895.0
1997-04-16,890.0
1997-04-23,845.0
1997-04-30,867.0
1997-05-07,845.0
1997-05-14,625.0
1997-05-21,683.33
1997-05-28,532.5
1997-06-04,532.5
1997-06-11,
1997-06-18,
1997-06-25,709.0
1997-07-02,680.5
1997-07-09,685.0
1997-07-16,653.33
1997-07-23,640.0
1997-07-30,643.33
1997-08-06,731.67
1997-08-13,705.0
1997-08-20,705.0
1997-08-27,705.0
1997-09-03,705.0
1997-09-10,702.5
1997-09-17,700.0
1997-09-24,695.0
1997-10-01,695.0
1997-10-08,695.0
1997-10-15,695.0
1997-10-22,657.5
1997-10-29,660.0
1997-11-05,660.0
1997-11-12,664.0
1997-11-19,664.0
1997-11-26,695.0
1997-12-03,700.0
1997-12-10,680.0
1997-12-17,673.33
1997-12-24,703.33
1997-12-31,690.0
1998-01-07,750.0
1998-01-14,
1998-01-21,
1998-01-28,
1998-02-04,
1998-02-11,760.0
1998-02-18,760.0
1998-02-25,740.0
1998-03-04,730.0
1998-03-11,730.0
1998-03-18,730.0
1998-03-25,700.0
1998-04-01,700.0
1998-04-08,660.0
1998-04-15,720.0
1998-04-22,720.0
1998-04-29,700.0
1998-05-06,650.0
1998-05-13,635.0
1998-05-20,640.0
1998-05-27,620.0
1998-06-03,610.0
1998-06-10,610.0
1998-06-17,610.0
1998-06-24,602.5
1998-07-01,612.5
1998-07-08,615.0
1998-07-15,615.0
1998-07-22,645.0
1998-07-29,670.0
1998-08-05,735.0
1998-08-12,740.0
1998-08-19,740.0
1998-08-26,740.0
1998-09-02,740.0
1998-09-09,680.0
1998-09-16,850.0
1998-09-23,810.0
1998-09-30,
1998-10-07,700.0
1998-10-14,780.0
1998-10-21,675.0
1998-10-28,600.0
1998-11-04,600.0
1998-11-11,600.0
1998-11-18,650.0
1998-11-25,650.0
1998-12-02,650.0
1998-12-09,650.0
1998-12-16,725.0
1998-12-23,725.0
1998-12-30,725.0
1999-01-06,700.0
1999-01-13,
1999-01-20,
1999-01-27,725.0
1999-02-03,725.0
1999-02-10,
1999-02-17,
1999-02-24,
1999-03-03,
1999-03-10,
1999-03-17,
1999-03-24,
1999-03-31,
1999-04-07,
1999-04-14,
1999-04-21,
1999-04-28,
1999-05-05,
1999-05-12,
1999-05-19,
1999-05-26,
1999-06-02,
1999-06-09,755.0
1999-06-16,750.0
1999-06-23,820.0
1999-06-30,780.0
1999-07-07,770.0
1999-07-14,780.0
1999-07-21,790.0
1999-07-28,750.0
1999-08-04,750.0
1999-08-11,740.0
1999-08-18,740.0
1999-08-25,750.0
1999-09-01,750.0
1999-09-08,750.0
1999-09-15,750.0
1999-09-22,
1999-09-29,
1999-10-06,750.0
1999-10-13,800.0
1999-10-20,
1999-10-27,800.0
1999-11-03,800.0
1999-11-10,800.0
1999-11-17,800.0
1999-11-24,800.0
1999-12-01,800.0
1999-12-08,775.0
1999-12-15,775.0
1999-12-22,800.0
1999-12-29,800.0
2000-01-05,800.0
2000-01-12,800.0
2000-01-19,800.0
2000-01-26,800.0
2000-02-02,775.0
2000-02-09,805.0
2000-02-16,805.0
2000-02-23,
2000-03-01,
2000-03-08,800.0
2000-03-15,790.0
2000-03-22,790.0
2000-03-29,767.5
2000-04-05,785.0
2000-04-12,
2000-04-19,
2000-04-26,680.0
2000-05-03,680.0
2000-05-10,737.5
2000-05-17,715.0
2000-05-24,715.0
2000-05-31,750.0
2000-06-07,756.67
2000-06-14,680.0
2000-06-21,753.33
2000-06-28,753.33
2000-07-05,740.0
2000-07-12,756.67
2000-07-19,760.0
2000-07-26,750.0
2000-08-02,758.33
2000-08-09,755.0
2000-08-16,753.33
2000-08-23,780.0
2000-08-30,765.0
2000-09-06,750.0
2000-09-13,755.0
2000-09-20,755.0
2000-09-27,757.5
2000-10-04,757.5
2000-10-11,745.0
2000-10-18,750.0
2000-10-25,745.0
2000-11-01,745.0
2000-11-08,760.0
2000-11-15,760.0
2000-11-22,746.67
2000-11-29,760.0
2000-12-06,705.33
2000-12-13,718.67
2000-12-20,785.0
2000-12-27,733.33
2001-01-03,733.33
2001-01-10,725.0
2001-01-17,725.0
2001-01-24,625.0
2001-01-31,775.0
2001-02-07,775.0
2001-02-14,780.0
2001-02-21,782.5
2001-02-28,702.5
2001-03-07,687.5
2001-03-14,687.5
2001-03-21,757.5
2001-03-28,740.0
2001-04-04,740.0
2001-04-11,750.0
2001-04-18,740.0
2001-04-25,705.0
2001-05-02,745.0
2001-05-09,700.0
2001-05-16,700.0
2001-05-23,700.0
2001-05-30,653.33
2001-06-06,703.33
2001-06-13,693.33
2001-06-20,643.33
2001-06-27,643.33
2001-07-04,650.0
2001-07-11,700.0
2001-07-18,666.67
2001-07-25,725.0
2001-08-01,666.67
2001-08-08,670.0
2001-08-15,670.0
2001-08-22,670.0
2001-08-29,716.67
2001-09-05,716.67
2001-09-12,716.67
2001-09-19,716.67
2001-09-26,716.67
2001-10-03,716.67
2001-10-10,716.67
2001-10-17,735.0
2001-10-24,746.67
2001-10-31,763.33
2001-11-07,770.0
2001-11-14,805.0
2001-11-21,770.0
2001-11-28,766.67
2001-12-05,760.0
2001-12-12,756.67
2001-12-19,756.67
2001-12-26,743.33
2002-01-02,743.33
2002-01-09,743.33
2002-01-16,743.33
2002-01-23,741.67
